1,8,940,0,1,0,0,1,1,0
1,86,316,5,6,1,0,1,27,1
0,46,0,1,0,0,0,0,15,0
0,17,0,0,0,0,0,1,24,0
1,13,648,0,0,0,0,1,15,0
1,50,527,1,6,0,0,1,20,0
0,13,0,1,0,0,0,0,138,1
1,126,760,16,30,0,1,1,8,1
1,14,133,0,10,0,0,0,118,1
0,27,0,2,0,0,0,1,13,0
1,126,65,22,26,0,1,0,7,1
0,139,0,10,0,1,0,1,38,1
0,6,0,0,0,0,0,1,660,1
1,24,42,3,5,0,0,0,126,1
0,31,0,1,0,0,0,1,15,0
0,39,0,0,0,0,0,0,94,1
0,26,0,1,0,0,0,1,11,0
1,14,612,2,6,0,0,1,7,0
0,49,0,5,0,0,0,0,128,1
0,111,0,8,0,1,0,1,31,1
0,18,0,1,0,0,0,0,13,0
1,49,720,0,0,0,0,1,14,0
1,86,338,12,18,1,0,1,8,1
0,2,0,1,0,0,0,1,22,0
0,76,0,17,0,0,1,1,31,1
1,29,224,2,6,0,0,1,8,0
1,119,385,13,29,0,1,1,14,1
1,28,540,0,5,0,0,1,25,0
1,21,174,3,3,0,0,0,59,1
1,13,314,1,9,0,0,1,25,0
1,8,787,0,1,0,0,1,15,0
0,49,0,2,0,0,0,1,4,0
0,14,0,1,0,0,0,0,113,1
0,36,0,0,0,0,0,1,10,0
0,2,0,0,0,0,0,1,14,0
0,19,0,0,0,0,0,1,14,0
1,1,0,1,0,0,0,1,279,1
1,31,539,25,31,0,1,1,37,1
1,32,934,0,0,0,0,1,18,0
1,22,411,1,1,0,0,1,23,0
0,27,0,0,0,0,0,1,9,0
1,41,933,2,10,0,0,1,18,0
1,25,167,0,8,0,0,1,24,0
1,45,924,2,4,0,0,1,1,0
1,176,289,12,11,0,1,0,36,1
1,24,85,0,9,0,0,1,8,0
0,177,0,10,0,0,1,1,5,1
0,23,0,0,0,0,0,1,15,0
0,46,0,1,0,0,0,1,19,0
0,31,0,2,0,0,0,1,17,0
1,2,23,0,5,0,0,0,125,1
1,47,386,2,4,0,0,1,15,0
1,16,268,2,8,0,0,0,3,0
1,9,665,0,9,0,0,1,17,0
1,43,93,2,6,0,0,1,14,0
1,11,520,2,5,0,0,1,11,0
1,3,68,3,3,0,0,0,135,1
0,34,0,2,0,0,0,1,15,0
0,30,0,2,0,0,0,1,1,0
0,28,0,1,0,0,0,1,10,0
1,143,111,6,19,1,0,0,19,1
0,31,0,0,0,0,0,1,5,0
1,25,31,3,2,0,0,0,101,1
1,14,6,0,6,0,0,1,11,0
1,75,344,13,11,1,0,0,28,1
1,30,951,2,6,0,0,1,8,0
1,36,514,0,5,0,0,1,17,0
1,16,801,0,5,0,0,1,7,0
0,17,0,1,0,0,0,1,20,0
0,57,0,13,0,1,0,1,22,1
1,44,682,2,2,0,0,1,12,0
0,31,0,0,0,0,0,1,7,0
1,9,0,1,0,0,0,1,199,1
